 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[924377355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[924545355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[924713355] kistler:   -0.02441 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[924881355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[925049355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[925217355] kistler:   -0.02441 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[925385355] kistler:   -0.02441 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[925553355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[925721355] kistler:   -0.04882 Nm	kollmorgen:    0.10528 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[925889355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[926057355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[926225355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[926393355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[926561355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[926729355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[926897355] kistler:   -0.02441 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[927065355] kistler:   -0.04882 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[927233355] kistler:   -0.04882 Nm	kollmorgen:    0.10528 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[927401355] kistler:   -0.04882 Nm	kollmorgen:    0.10528 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[927569355] kistler:   -0.02441 Nm	kollmorgen:    0.10002 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[927737355] kistler:   -0.02441 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[927905355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[928073355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[928241355] kistler:   -0.04882 Nm	kollmorgen:    0.11054 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[928409355] kistler:   -0.04882 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[928577355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[928745355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[928913355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00013 rad/s
[929081355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[929249355] kistler:   -0.02441 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[929417355] kistler:   -0.02441 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[929585355] kistler:   -0.02441 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00019 rad/s
[929753355] kistler:   -0.02441 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00020 rad/s
[929921355] kistler:   -0.02441 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00020 rad/s
[930089355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[930257355] kistler:   -0.02441 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00019 rad/s
[930425355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[930593355] kistler:   -0.04882 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[930761355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00014 rad/s
[930929355] kistler:   -0.02441 Nm	kollmorgen:    0.09475 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[931097355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[931265355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[931433355] kistler:   -0.04882 Nm	kollmorgen:    0.13687 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[931601355] kistler:   -0.02441 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[931769355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[931937355] kistler:   -0.04882 Nm	kollmorgen:    0.14739 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[932105355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00015 rad/s
[932273355] kistler:   -0.02441 Nm	kollmorgen:    0.12107 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[932441355] kistler:   -0.02441 Nm	kollmorgen:    0.11581 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[932609355] kistler:   -0.02441 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00019 rad/s
[932777355] kistler:   -0.02441 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00019 rad/s
[932945355] kistler:   -0.04882 Nm	kollmorgen:    0.13160 Nm	steer:   -0.02980 rad	rate:    0.00018 rad/s
[933113355] kistler:   -0.04882 Nm	kollmorgen:    0.12634 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[933281355] kistler:   -0.02441 Nm	kollmorgen:    0.15266 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
[933449355] kistler:   -0.04882 Nm	kollmorgen:    0.15792 Nm	steer:   -0.02980 rad	rate:    0.00016 rad/s
[933617355] kistler:   -0.02441 Nm	kollmorgen:    0.14213 Nm	steer:   -0.02980 rad	rate:    0.00017 rad/s
